sentence-similarity-onnx	https://huggingface.co/api/models?filter=sentence-similarity,onnx&sort=downloads&direction=-1&limit=100&full=true	100	2026-08-08T09:44:31.217742+00:00
model2vec-filter	https://huggingface.co/api/models?filter=model2vec&sort=downloads&direction=-1&limit=100&full=true	100	2026-08-08T09:44:31.497210+00:00
model2vec-library	https://huggingface.co/api/models?library=model2vec&sort=downloads&direction=-1&limit=100&full=true	100	2026-08-08T09:44:31.804791+00:00
setfit	https://huggingface.co/api/models?filter=setfit&sort=downloads&direction=-1&limit=100&full=true	100	2026-08-08T09:44:32.095909+00:00
search-fasttext	https://huggingface.co/api/models?search=fasttext&sort=downloads&direction=-1&limit=50&full=true	50	2026-08-08T09:44:32.342475+00:00
search-url-classification	https://huggingface.co/api/models?search=url%20classification&sort=downloads&direction=-1&limit=50&full=true	8	2026-08-08T09:44:32.562066+00:00
search-website-category	https://huggingface.co/api/models?search=website%20category&sort=downloads&direction=-1&limit=50&full=true	2	2026-08-08T09:44:32.776613+00:00
author-onnx-community	https://huggingface.co/api/models?author=onnx-community&sort=downloads&direction=-1&limit=100&full=true	100	2026-08-08T09:44:33.159145+00:00
author-Xenova	https://huggingface.co/api/models?author=Xenova&sort=downloads&direction=-1&limit=100&full=true	100	2026-08-08T09:44:33.449266+00:00
